order_item_id,order_id,product_id,quantity
1,4,3,2
2,23,7,2
3,11,28,2
4,24,16,3
5,27,26,4
6,17,16,1
7,6,25,1
8,24,20,4
9,5,28,1
10,20,17,4
11,2,2,1
12,6,1,2
13,22,16,1
14,11,30,4
15,16,12,4
16,16,5,4
17,1,5,4
18,9,27,4
19,28,23,3
20,27,9,3
21,6,9,1
22,16,3,4
23,29,19,1
24,3,16,4
25,20,16,4
26,28,3,3
27,27,20,3
28,4,24,2
29,19,22,3
30,26,24,2
31,3,1,2
32,19,24,2
33,20,20,2
34,7,11,2
35,20,17,1
36,9,8,3
37,1,4,2
38,8,6,4
39,7,8,3
40,18,20,3
41,8,30,2
42,1,3,1
43,11,16,2
44,28,30,1
45,25,25,4
46,25,3,3
47,18,25,4
48,23,29,1
49,30,18,1
50,10,14,4
